section,id,test_case,command_or_test,evidence,status,blocker
"6. Voice runtime — phone","T-114","Transfer: both legs billed once","controller finalises on completion; Plivo hangup path unchanged","code + tests","PASS (code)","live"
"6. Voice runtime — phone","T-115","Transfer: PIOPIY honest unavailability","availability + prompt","unit","PASS (unit)","—"
"6. Voice runtime — phone","T-116","Ambience: chatter beds level −48 dBFS, 24 s, seam-free, two variants","`ambience.test.js`","P/05","PASS","—"
"6. Voice runtime — phone","T-117","Ambience: Fish tag never spoken (probe)","0/8 leaks on `s2.1-pro-free`","P/ambience/fish_tags","PASS (probe)","other models UNVERIFIED"
"6. Voice runtime — phone","T-118","Ambience: native effect reliable/controllable","probe: inconsistent, −23 dBFS","P/ambience","FAIL → not default","—"
"6. Voice runtime — phone","T-119","Ambience: bed never triggers barge/phantom/STT on a live call","—","","BLOCKED","E-2"
"6. Voice runtime — phone","T-120b","Ambience: licence for cached beds","Fish free tier is non-commercial","E-7","BLOCKED (licence)","owner plan"
"7. Billing, wallet, pricing (unchanged from phase 1 unless noted)","T-120","Money arithmetic","`npm test`","","PASS","—"
"7. Billing, wallet, pricing (unchanged from phase 1 unless noted)","T-121","Pricing bands / rate / budget","`npm test`","","PASS","—"
"7. Billing, wallet, pricing (unchanged from phase 1 unless noted)","T-122","Razorpay signature","`npm test`","","PASS","—"
"7. Billing, wallet, pricing (unchanged from phase 1 unless noted)","T-123","Settlement integration (57)","","","BLOCKED","E-1"
"7. Billing, wallet, pricing (unchanged from phase 1 unless noted)","T-124","Admin wallet credit idempotent","code","","PASS (code)","—"
"7. Billing, wallet, pricing (unchanged from phase 1 unless noted)","T-125","Plan catalogue free of fixtures","","","FAIL (data)","D-8"
"7. Billing, wallet, pricing (unchanged from phase 1 unless noted)","T-126","Customer UI wallet-only","code","","PASS (code)","—"
"7. Billing, wallet, pricing (unchanged from phase 1 unless noted)","T-127","Legacy renewal sweep","switch added","","FAIL (still on)","D-9"
"7. Billing, wallet, pricing (unchanged from phase 1 unless noted)","T-128","Duplicate invoices","","","BLOCKED","A-15"
"7. Billing, wallet, pricing (unchanged from phase 1 unless noted)","T-129","Zero balance blocks call","","","BLOCKED","E-1"
"7. Billing, wallet, pricing (unchanged from phase 1 unless noted)","T-130","Top-up webhook paths","","","BLOCKED","E-4"
"7. Billing, wallet, pricing (unchanged from phase 1 unless noted)","T-131","Negative currency formatting","code","","PASS (code)","—"
"7. Billing, wallet, pricing (unchanged from phase 1 unless noted)","T-132","Issue C rename","","","BLOCKED","E-5"
"7. Billing, wallet, pricing (unchanged from phase 1 unless noted)","T-133","COGS / margin","","","OPEN","—"
"8. Product surface, UI, integrations (unchanged from phase 1)","T-140","Every route renders","—","","UNVERIFIED","browser"
"8. Product surface, UI, integrations (unchanged from phase 1)","T-141","States / responsiveness / a11y","—","","UNVERIFIED","browser"
"8. Product surface, UI, integrations (unchanged from phase 1)","T-142","Marketing claims vs capabilities","—","","UNVERIFIED","—"
"8. Product surface, UI, integrations (unchanged from phase 1)","T-143","Agent config + KB / RAG","unit","","PASS (unit)","pgvector locally"
"8. Product surface, UI, integrations (unchanged from phase 1)","T-144","Workspace isolation matrix","sampled","","UNVERIFIED","—"
"8. Product surface, UI, integrations (unchanged from phase 1)","T-145","Integrations in sandbox","—","","BLOCKED","accounts"
"8. Product surface, UI, integrations (unchanged from phase 1)","T-146","Post-call delivery","—","","BLOCKED","E-2"
"8. Product surface, UI, integrations (unchanged from phase 1)","T-147","Leaks","sampled","","UNVERIFIED","—"
"8. Product surface, UI, integrations (unchanged from phase 1)","T-148","Playwright route completeness","—","","UNVERIFIED","—"
"8. Product surface, UI, integrations (unchanged from phase 1)","T-149","Editor: transfer, speculation, ambience-mode controls persist and validate","tsc + validator tests; browser save not driven","P/05","PASS (code)","browser"
